Ligand_1,Ligand_2,Exp. ddG,Pred. ddG,SEM,STD,crashes,target,ForceField
CHEMBL3265029,CHEMBL3265027,0.79,1.027,0.058,0.4934,0,syk,OpenFF 2.0
CHEMBL3265035,CHEMBL3265029,-0.04,1.138,0.539,0.808,6,syk,OpenFF 2.0
CHEMBL3265028,CHEMBL3265027,0.68,0.323,0.058,0.9794,6,syk,OpenFF 2.0
CHEMBL3265020,CHEMBL3265016,-0.68,0.79,0.622,0.6075,9,syk,OpenFF 2.0
CHEMBL3265010,CHEMBL3265020,-0.87,2.408,0.41,1.0118,7,syk,OpenFF 2.0
CHEMBL3265026,CHEMBL3265020,0.35,-0.615,0.421,0.8782,0,syk,OpenFF 2.0
CHEMBL3265016,CHEMBL3265018,0.5,-0.965,0.622,1.9674,7,syk,OpenFF 2.0
CHEMBL3265026,CHEMBL3265016,-0.33,0.175,0.421,0.8233,5,syk,OpenFF 2.0
CHEMBL3265018,CHEMBL3265019,0.41,-0.425,0.622,0.6718,3,syk,OpenFF 2.0
CHEMBL3265023,CHEMBL3265022,-0.31,2.728,0.735,0.9027,6,syk,OpenFF 2.0
CHEMBL3265024,CHEMBL3265026,0.43,0.693,0.525,0.9102,3,syk,OpenFF 2.0
CHEMBL3265025,CHEMBL3265026,-1.16,1.507,0.525,0.8139,3,syk,OpenFF 2.0
CHEMBL3265024,CHEMBL3265025,1.59,-0.813,0.525,1.2985,2,syk,OpenFF 2.0
CHEMBL3265010,CHEMBL3265009,-0.16,0.859,0.58,2.3496,5,syk,OpenFF 2.0
CHEMBL3265010,CHEMBL3265014,-0.26,1.718,0.58,1.5391,7,syk,OpenFF 2.0
CHEMBL3265010,CHEMBL3265008,0.36,1.536,0.525,1.2661,5,syk,OpenFF 2.0
CHEMBL3265010,CHEMBL3259820,-0.43,0.472,0.312,0.9192,5,syk,OpenFF 2.0
CHEMBL3265010,CHEMBL3265005,-0.19,1.114,0.3,1.1015,2,syk,OpenFF 2.0
CHEMBL3265009,CHEMBL3265013,0.49,0.419,0.58,0.9719,1,syk,OpenFF 2.0
CHEMBL3265014,CHEMBL3265013,0.59,-0.439,0.58,2.0402,2,syk,OpenFF 2.0
CHEMBL3265014,CHEMBL3265012,-0.15,-0.306,0.525,1.3406,5,syk,OpenFF 2.0
CHEMBL3265014,CHEMBL3259820,-0.17,-1.246,0.312,1.4345,0,syk,OpenFF 2.0
CHEMBL3265008,CHEMBL3265012,-0.77,-0.124,0.525,1.1449,11,syk,OpenFF 2.0
CHEMBL3265015,CHEMBL3259820,-1.09,-2.864,2.12,2.8966,7,syk,OpenFF 2.0
CHEMBL3259820,CHEMBL3265005,0.24,0.642,2.12,1.0717,5,syk,OpenFF 2.0
CHEMBL3265015,CHEMBL3265011,0.84,-0.266,2.12,1.178,5,syk,OpenFF 2.0
CHEMBL3265011,CHEMBL3265005,-1.69,-1.956,2.12,1.2932,0,syk,OpenFF 2.0
CHEMBL3265006,CHEMBL3265005,-0.37,0.386,1.137,1.0486,4,syk,OpenFF 2.0
CHEMBL3264999,CHEMBL3265005,1.09,2.712,2.725,4.8612,12,syk,OpenFF 2.0
CHEMBL3265002,CHEMBL3265005,0.28,6.081,2.725,3.3179,0,syk,OpenFF 2.0
CHEMBL3264999,CHEMBL3265006,1.46,2.326,1.137,3.3594,5,syk,OpenFF 2.0
CHEMBL3264996,CHEMBL3264999,-0.75,1.29,0.953,1.4258,1,syk,OpenFF 2.0
CHEMBL3265002,CHEMBL3264999,-0.81,3.369,2.725,2.3619,2,syk,OpenFF 2.0
CHEMBL3265002,CHEMBL3264996,-0.06,2.08,0.953,1.1516,0,syk,OpenFF 2.0
CHEMBL3265002,CHEMBL3265003,-0.21,1.283,0.768,2.0714,0,syk,OpenFF 2.0
CHEMBL3265002,CHEMBL3265004,-0.25,0.897,0.768,1.5231,0,syk,OpenFF 2.0
CHEMBL3265004,CHEMBL3265003,0.04,0.387,0.768,1.6469,3,syk,OpenFF 2.0
CHEMBL3264995,CHEMBL3264997,1.41,0.137,1.132,1.854,5,syk,OpenFF 2.0
CHEMBL3264998,CHEMBL3264995,-0.67,-0.252,0.837,1.0555,11,syk,OpenFF 2.0
CHEMBL3265000,CHEMBL3264995,-0.58,1.996,1.772,2.0976,0,syk,OpenFF 2.0
CHEMBL3265001,CHEMBL3264995,-0.36,0.161,1.772,0.9487,5,syk,OpenFF 2.0
CHEMBL3264995,CHEMBL3264994,2.58,3.078,1.132,4.4727,1,syk,OpenFF 2.0
CHEMBL3264998,CHEMBL3264997,0.74,-0.115,0.837,1.7511,3,syk,OpenFF 2.0
CHEMBL3264997,CHEMBL3264994,1.17,2.942,1.132,4.2787,2,syk,OpenFF 2.0
CHEMBL3265001,CHEMBL3264998,0.31,0.413,0.017,1.3042,4,syk,OpenFF 2.0
CHEMBL3265000,CHEMBL3265001,-0.22,1.834,1.772,2.7683,0,syk,OpenFF 2.0
5d,3b,-0.63,-1.105,1.38,0.5661,0,tnks2,OpenFF 2.0
5d,5e,0.78,0.634,0.394,0.2832,0,tnks2,OpenFF 2.0
5d,7,2.49,2.202,0.375,0.6129,0,tnks2,OpenFF 2.0
5k,5d,0.07,0.157,0.312,0.6031,1,tnks2,OpenFF 2.0
5m,5d,1.8,-0.227,1.38,0.5449,0,tnks2,OpenFF 2.0
3b,3a,0.52,0.096,0.394,0.7295,0,tnks2,OpenFF 2.0
5p,3b,-1.02,-2.591,1.38,3.2784,0,tnks2,OpenFF 2.0
3b,7,3.12,3.308,0.375,0.7128,0,tnks2,OpenFF 2.0
5e,5a,-0.65,-1.456,0.394,0.9601,0,tnks2,OpenFF 2.0
5a,3a,-0.24,-0.186,0.394,0.6268,0,tnks2,OpenFF 2.0
3a,1a,2.45,3.767,0.491,0.9526,0,tnks2,OpenFF 2.0
3a,1b,1.06,1.733,0.491,0.6854,0,tnks2,OpenFF 2.0
5m,5k,1.73,-0.384,0.312,0.4982,0,tnks2,OpenFF 2.0
5k,5f,0.7,-0.451,0.155,0.7094,1,tnks2,OpenFF 2.0
5o,5m,-0.65,0.421,1.38,1.514,0,tnks2,OpenFF 2.0
5m,5i,0.61,-1.039,0.155,0.6544,0,tnks2,OpenFF 2.0
5f,5i,-1.82,-0.204,0.37,0.5459,0,tnks2,OpenFF 2.0
5l,5f,-0.17,1.646,0.496,0.5517,0,tnks2,OpenFF 2.0
5f,5g,-0.55,-0.874,0.496,0.542,0,tnks2,OpenFF 2.0
5h,5f,-0.21,-1.533,0.312,1.3189,0,tnks2,OpenFF 2.0
5i,5g,1.27,-0.67,0.37,0.7875,0,tnks2,OpenFF 2.0
5h,5i,-2.03,-1.737,0.312,0.4534,0,tnks2,OpenFF 2.0
5g,5c,0.85,-0.114,0.496,0.8417,0,tnks2,OpenFF 2.0
5l,5b,-0.38,0.573,0.496,0.5109,2,tnks2,OpenFF 2.0
5l,5j,-0.99,0.421,0.11,0.5459,0,tnks2,OpenFF 2.0
5b,5c,0.51,0.084,0.496,0.4675,0,tnks2,OpenFF 2.0
5j,5b,0.61,0.151,0.11,0.8298,2,tnks2,OpenFF 2.0
5o,5n,1.33,1.069,1.38,1.3652,0,tnks2,OpenFF 2.0
5p,5n,-0.21,-0.609,1.38,1.0678,0,tnks2,OpenFF 2.0
1b,1a,1.39,2.033,0.491,0.6389,0,tnks2,OpenFF 2.0
8f,8e,1.57,0.038,0.08,0.5906,1,tnks2,OpenFF 2.0
8f,8d,-0.68,-0.161,0.0,0.4386,1,tnks2,OpenFF 2.0
8f,8b,-0.12,-0.207,0.08,0.871,0,tnks2,OpenFF 2.0
8e,8c,0.12,1.111,0.0,1.3854,2,tnks2,OpenFF 2.0
8e,8a,-0.57,0.697,0.08,1.264,0,tnks2,OpenFF 2.0
8d,8c,2.37,1.309,0.0,1.1091,2,tnks2,OpenFF 2.0
8b,8a,1.12,0.943,0.08,0.9582,0,tnks2,OpenFF 2.0
